cod_mpio,municipio,enfermedad,casos_predichos,indice_vulnerabilidad,vulnerabilidad,nivel_alerta,explicacion
5001,MEDELLÍN,Dengue,5.050893144973993,4.08,Bajo,ALTO,Municipio en ALTO: se prevén 5.05 casos de Dengue (predicción Alta) y la zona tiene vulnerabilidad baja (4.1/10).
5001,MEDELLÍN,Malaria,1.2604807507324578,4.08,Bajo,BAJO,Municipio en BAJO: se prevén 1.26 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad baja (4.1/10).
5030,AMAGÁ,Dengue,1.4261560604211518,2.79,Bajo,BAJO,Municipio en BAJO: se prevén 1.43 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (2.8/10).
5031,AMALFI,Dengue,1.2062255501855232,3.03,Bajo,BAJO,Municipio en BAJO: se prevén 1.21 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (3.0/10).
5031,AMALFI,Malaria,1.1937225011590225,3.03,Bajo,BAJO,Municipio en BAJO: se prevén 1.19 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad baja (3.0/10).
5040,ANORÍ,Dengue,1.3246106327552676,5.61,Medio,BAJO,Municipio en BAJO: se prevén 1.32 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad media (5.6/10).
5040,ANORÍ,Malaria,2.029692739002607,5.61,Medio,BAJO,Municipio en BAJO: se prevén 2.03 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad media (5.6/10).
5044,ANZÁ,Dengue,1.4166105563931688,4.55,Bajo,BAJO,Municipio en BAJO: se prevén 1.42 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (4.5/10).
5045,APARTADÓ,Dengue,3.980643401636273,3.68,Bajo,ALTO,Municipio en ALTO: se prevén 3.98 casos de Dengue (predicción Alta) y la zona tiene vulnerabilidad baja (3.7/10).
5045,APARTADÓ,Malaria,6.625833548770289,3.68,Bajo,MEDIO,Municipio en MEDIO: se prevén 6.63 casos de Malaria (predicción Media) y la zona tiene vulnerabilidad baja (3.7/10).
5051,ARBOLETES,Dengue,1.387500988627406,3.66,Bajo,BAJO,Municipio en BAJO: se prevén 1.39 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (3.7/10).
5051,ARBOLETES,Malaria,2.378791481363532,3.66,Bajo,BAJO,Municipio en BAJO: se prevén 2.38 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad baja (3.7/10).
5055,ARGELIA,Dengue,1.7994398983624142,4.74,Medio,BAJO,Municipio en BAJO: se prevén 1.80 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad media (4.7/10).
5055,ARGELIA,Malaria,1.1279755572981132,4.74,Medio,BAJO,Municipio en BAJO: se prevén 1.13 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad media (4.7/10).
5059,ARMENIA,Dengue,1.3971024162820127,6.99,Alto,MEDIO,Municipio en MEDIO: se prevén 1.40 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.0/10).
5079,BARBOSA,Dengue,1.904000302137892,4.45,Bajo,MEDIO,Municipio en MEDIO: se prevén 1.90 casos de Dengue (predicción Media) y la zona tiene vulnerabilidad baja (4.5/10).
5088,BELLO,Dengue,1.7145840500920009,4.01,Bajo,BAJO,Municipio en BAJO: se prevén 1.71 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (4.0/10).
5091,BETANIA,Dengue,1.18476107100212,3.69,Bajo,BAJO,Municipio en BAJO: se prevén 1.18 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (3.7/10).
5093,BETULIA,Dengue,1.2456109004405258,3.13,Bajo,BAJO,Municipio en BAJO: se prevén 1.25 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (3.1/10).
