cod_mpio,nom_mpio,enfermedad,fecha,casos_predichos,nivel_riesgo
5001,MEDELLÍN,Dengue,2021-12-27,5.050893144973993,Bajo
5001,MEDELLÍN,Malaria,2021-12-27,1.2604807507324578,Bajo
5030,AMAGÁ,Dengue,2021-06-14,1.4261560604211518,Bajo
5031,AMALFI,Dengue,2021-11-01,1.2062255501855232,Bajo
5031,AMALFI,Malaria,2021-11-22,1.1937225011590225,Bajo
5040,ANORÍ,Dengue,2021-09-06,1.3246106327552676,Bajo
5040,ANORÍ,Malaria,2021-12-27,2.029692739002607,Bajo
5044,ANZÁ,Dengue,2021-05-10,1.4166105563931688,Bajo
5045,APARTADÓ,Dengue,2021-12-27,3.9806434016362733,Bajo
5045,APARTADÓ,Malaria,2021-12-27,6.625833548770289,Bajo
5051,ARBOLETES,Dengue,2021-12-27,1.387500988627406,Bajo
5051,ARBOLETES,Malaria,2021-12-27,2.378791481363532,Bajo
5055,ARGELIA,Dengue,2021-10-18,1.7994398983624142,Bajo
5055,ARGELIA,Malaria,2021-04-05,1.1279755572981132,Bajo
5059,ARMENIA,Dengue,2021-12-27,1.3971024162820127,Bajo
5079,BARBOSA,Dengue,2021-08-09,1.904000302137892,Bajo
5088,BELLO,Dengue,2021-12-13,1.7145840500920007,Bajo
5091,BETANIA,Dengue,2021-10-11,1.1847610710021201,Bajo
5093,BETULIA,Dengue,2021-11-08,1.2456109004405258,Bajo
5107,BRICEÑO,Dengue,2021-11-15,1.6987034963930427,Bajo
5120,CÁCERES,Dengue,2021-12-20,1.6481926468432508,Bajo
5120,CÁCERES,Malaria,2021-12-20,2.08111938977522,Bajo
5129,CALDAS,Dengue,2021-09-27,1.4409032495568308,Bajo
5147,CAREPA,Dengue,2021-12-13,1.846140890767301,Bajo
5147,CAREPA,Malaria,2021-12-13,2.8548488820237483,Bajo
5154,CAUCASIA,Dengue,2021-12-27,3.433027533890943,Bajo
5154,CAUCASIA,Malaria,2021-12-27,1.4497207384289168,Bajo
5172,CHIGORODÓ,Dengue,2021-12-27,1.8711687927113347,Bajo
5172,CHIGORODÓ,Malaria,2021-12-27,1.8829428227492713,Bajo
5190,CISNEROS,Dengue,2021-11-15,1.3495125453482393,Bajo
5197,COCORNÁ,Dengue,2021-11-15,1.3433988886926387,Bajo
5206,CONCEPCIÓN,Dengue,2021-06-21,1.2557094928979669,Bajo
5209,CONCORDIA,Dengue,2021-12-06,1.476484439371737,Bajo
